unique_key,reporting_date,country,plan,organisation_id,mrr
2022-01-01__01949455440d40c4bf05621c2ef1a35a,2022-01-01,FR,PREMIUM1,01949455440d40c4bf05621c2ef1a35a,35
2022-01-01__021d3689db2041dc944886afbba734eb,2022-01-01,FR,PREMIUM1,021d3689db2041dc944886afbba734eb,50
2022-01-01__0896e77274924d7a85521f3e14fa5fea,2022-01-01,FR,PREMIUM1,0896e77274924d7a85521f3e14fa5fea,35
2022-01-01__09b959aaa0154cff9260783cbb8a38e9,2022-01-01,FR,PREMIUM1,09b959aaa0154cff9260783cbb8a38e9,35
2022-01-01__0c0ae752868348f0a94084d8e9b1d92b,2022-01-01,FR,PREMIUM1,0c0ae752868348f0a94084d8e9b1d92b,30
2022-01-01__0de3c1aa07864e869b96407d1990d293,2022-01-01,FR,PREMIUM1,0de3c1aa07864e869b96407d1990d293,50
2022-01-01__10466b8f6abf4f46955676aa7abab2d6,2022-01-01,FR,PREMIUM1,10466b8f6abf4f46955676aa7abab2d6,50
2022-01-01__1168371e6ef54d31b8e738df93673c75,2022-01-01,FR,PREMIUM1,1168371e6ef54d31b8e738df93673c75,50
2022-01-01__136d9d5f5a7440a5ab244c222bb8c1e0,2022-01-01,FR,PREMIUM1,136d9d5f5a7440a5ab244c222bb8c1e0,30
2022-01-01__137d51ab02844742a39081fd18cdf575,2022-01-01,FR,PREMIUM1,137d51ab02844742a39081fd18cdf575,35
2022-01-01__16c393cb4d094ee9859f2f1fabf03619,2022-01-01,FR,PREMIUM1,16c393cb4d094ee9859f2f1fabf03619,30
2022-01-01__18d17802cdf74bb098c94a1dc0f162d3,2022-01-01,FR,PREMIUM1,18d17802cdf74bb098c94a1dc0f162d3,35
2022-01-01__19a5d120eb4a44eeaa8ac491bb31474e,2022-01-01,FR,PREMIUM1,19a5d120eb4a44eeaa8ac491bb31474e,30
2022-01-01__1cd0817c8e794d1e99cc9a09cea2cbc3,2022-01-01,FR,PREMIUM1,1cd0817c8e794d1e99cc9a09cea2cbc3,35
2022-01-01__21312b4edc8945a8adf1e7084969f446,2022-01-01,FR,PREMIUM1,21312b4edc8945a8adf1e7084969f446,50
2022-01-01__22f111bb724d49fbb3e4bce37e9d019d,2022-01-01,FR,PREMIUM1,22f111bb724d49fbb3e4bce37e9d019d,35
2022-01-01__25a1ea2ba7424d889dc8a681806da98e,2022-01-01,FR,PREMIUM1,25a1ea2ba7424d889dc8a681806da98e,30
2022-01-01__2704dfce2b474a48b9263d46ef732797,2022-01-01,FR,PREMIUM1,2704dfce2b474a48b9263d46ef732797,50
2022-01-01__291e3582ead1479ea22b889099d1221c,2022-01-01,FR,PREMIUM1,291e3582ead1479ea22b889099d1221c,30
2022-01-01__2a832342ad964f7abb709f684ad2c2ca,2022-01-01,FR,PREMIUM1,2a832342ad964f7abb709f684ad2c2ca,30
2022-01-01__2aa921e9e6a94f7ea8eddf0b13e54c66,2022-01-01,FR,PREMIUM1,2aa921e9e6a94f7ea8eddf0b13e54c66,30
2022-01-01__2dfe78b95e144c4ca2b5ebe24c9d1f8e,2022-01-01,FR,PREMIUM1,2dfe78b95e144c4ca2b5ebe24c9d1f8e,50
2022-01-01__31e07c478c1e4216a2bad087abfc554c,2022-01-01,FR,PREMIUM1,31e07c478c1e4216a2bad087abfc554c,35
2022-01-01__322da7fdb3e542a0a1500f0a8cc392ae,2022-01-01,FR,PREMIUM1,322da7fdb3e542a0a1500f0a8cc392ae,50
2022-01-01__357f2777fc2f4f9d89cd50f7deb17064,2022-01-01,FR,PREMIUM1,357f2777fc2f4f9d89cd50f7deb17064,30
2022-01-01__35cbec86630644649a11dac5a0d6958c,2022-01-01,FR,PREMIUM1,35cbec86630644649a11dac5a0d6958c,35
2022-01-01__38365621f4794253ad247f8ecd9914d4,2022-01-01,FR,PREMIUM1,38365621f4794253ad247f8ecd9914d4,35
2022-01-01__390aad7c857840b0840736c06245e891,2022-01-01,FR,PREMIUM1,390aad7c857840b0840736c06245e891,30
2022-01-01__3ae60375e64343d2bd91d1a84533160c,2022-01-01,FR,PREMIUM1,3ae60375e64343d2bd91d1a84533160c,30
2022-01-01__3bc8ca135e9c45919537fbdaffbe762a,2022-01-01,FR,PREMIUM1,3bc8ca135e9c45919537fbdaffbe762a,35
2022-01-01__41b0f41a749746d5bb53ac68427e3ec5,2022-01-01,FR,PREMIUM1,41b0f41a749746d5bb53ac68427e3ec5,35
2022-01-01__425c30d2ab824d0aacfff9af5b0a81e8,2022-01-01,FR,PREMIUM1,425c30d2ab824d0aacfff9af5b0a81e8,50
2022-01-01__4397c77733d14c7e88532fe9c18e87a2,2022-01-01,FR,PREMIUM1,4397c77733d14c7e88532fe9c18e87a2,50
2022-01-01__46c0c9bfd1e14b9e990f337be9c52dce,2022-01-01,FR,PREMIUM1,46c0c9bfd1e14b9e990f337be9c52dce,35
2022-01-01__471ec8f6bc8747f4a4c61c1cfbc23470,2022-01-01,FR,PREMIUM1,471ec8f6bc8747f4a4c61c1cfbc23470,50
2022-01-01__4cbace4b112744118375decee976cf8b,2022-01-01,FR,PREMIUM1,4cbace4b112744118375decee976cf8b,35
2022-01-01__52b1185569cf40bba2e784c797875d6b,2022-01-01,FR,PREMIUM1,52b1185569cf40bba2e784c797875d6b,35
2022-01-01__53bf0948d31140aca8551bec8fae3929,2022-01-01,FR,PREMIUM1,53bf0948d31140aca8551bec8fae3929,35
2022-01-01__550e9094edd6409eb622b38820d3d7d2,2022-01-01,FR,PREMIUM1,550e9094edd6409eb622b38820d3d7d2,30
2022-01-01__553940648b0b4baf94f889f19ff80762,2022-01-01,FR,PREMIUM1,553940648b0b4baf94f889f19ff80762,50
2022-01-01__55439f5692984ba7b63c99ef2f68cb51,2022-01-01,FR,PREMIUM1,55439f5692984ba7b63c99ef2f68cb51,35
2022-01-01__567a3a92fd7d4f869ec7204fa4efd9a1,2022-01-01,FR,PREMIUM1,567a3a92fd7d4f869ec7204fa4efd9a1,30
2022-01-01__570a982783094ded80e778fa8e82162d,2022-01-01,FR,PREMIUM1,570a982783094ded80e778fa8e82162d,35
2022-01-01__57e81187483646faad8f6e7b23504044,2022-01-01,FR,PREMIUM1,57e81187483646faad8f6e7b23504044,35
2022-01-01__591ca9c7736746618133ab2f28e49fa3,2022-01-01,FR,PREMIUM1,591ca9c7736746618133ab2f28e49fa3,30
2022-01-01__5d5ccf67b1544a71a6b9812fa2ed7f50,2022-01-01,FR,PREMIUM1,5d5ccf67b1544a71a6b9812fa2ed7f50,50
2022-01-01__60ab7ea3ca234317a5837a46a1685962,2022-01-01,FR,PREMIUM1,60ab7ea3ca234317a5837a46a1685962,30
2022-01-01__629fb628b5b544b1b50d121ee130cc98,2022-01-01,FR,PREMIUM1,629fb628b5b544b1b50d121ee130cc98,30
2022-01-01__6364494904b04ac7af5c7bfd4cc63dfd,2022-01-01,FR,PREMIUM1,6364494904b04ac7af5c7bfd4cc63dfd,50
2022-01-01__6591464a8e81421fa3fe540427c20d80,2022-01-01,FR,PREMIUM1,6591464a8e81421fa3fe540427c20d80,50
2022-01-01__6d8c684c1fff4151977fa8163af5c661,2022-01-01,FR,PREMIUM1,6d8c684c1fff4151977fa8163af5c661,30
2022-01-01__6da5b69f431a44abb2bae1829a9c117e,2022-01-01,FR,PREMIUM1,6da5b69f431a44abb2bae1829a9c117e,50
2022-01-01__6db8912b35de445fa44a9382ffb59b33,2022-01-01,FR,PREMIUM1,6db8912b35de445fa44a9382ffb59b33,35
2022-01-01__6f5a7585deb64c4a8e48fc26e3df3679,2022-01-01,FR,PREMIUM1,6f5a7585deb64c4a8e48fc26e3df3679,35
2022-01-01__707df346636a43dd9cd760ad1557ff3d,2022-01-01,FR,PREMIUM1,707df346636a43dd9cd760ad1557ff3d,50
2022-01-01__71793f091e0347d0b36162fd3e75dda4,2022-01-01,FR,PREMIUM1,71793f091e0347d0b36162fd3e75dda4,35
2022-01-01__71c8f9c6ddf9475ca08564c169809e6e,2022-01-01,FR,PREMIUM1,71c8f9c6ddf9475ca08564c169809e6e,30
2022-01-01__73c8bd3a75444e3abeca3153304da912,2022-01-01,FR,PREMIUM1,73c8bd3a75444e3abeca3153304da912,35
2022-01-01__74dfcde7fdad40f98f44895480227051,2022-01-01,FR,PREMIUM1,74dfcde7fdad40f98f44895480227051,30
2022-01-01__7841473451704a9cb16d7eff9a68d444,2022-01-01,FR,PREMIUM1,7841473451704a9cb16d7eff9a68d444,30
2022-01-01__7fe92531141947298cc03c5fd4d9aa90,2022-01-01,FR,PREMIUM1,7fe92531141947298cc03c5fd4d9aa90,35
2022-01-01__81f4c7fb61ce45ee9a67d0f26cc64158,2022-01-01,FR,PREMIUM1,81f4c7fb61ce45ee9a67d0f26cc64158,50
2022-01-01__824a35b52f4c4e3083081bafdaf3910e,2022-01-01,FR,PREMIUM1,824a35b52f4c4e3083081bafdaf3910e,50
2022-01-01__82e19099800b497499e1a07190d4042b,2022-01-01,FR,PREMIUM1,82e19099800b497499e1a07190d4042b,30
2022-01-01__833e694553714ef7bd88af641bf0b69f,2022-01-01,FR,PREMIUM1,833e694553714ef7bd88af641bf0b69f,30
2022-01-01__84ce9a9e6af14294932c6cf63fa93e88,2022-01-01,FR,PREMIUM1,84ce9a9e6af14294932c6cf63fa93e88,30
2022-01-01__87458143628b4f17bea57afade1bc7b4,2022-01-01,FR,PREMIUM1,87458143628b4f17bea57afade1bc7b4,35
2022-01-01__885a707d0c2b4ed7bf1e0dc3963ae387,2022-01-01,FR,PREMIUM1,885a707d0c2b4ed7bf1e0dc3963ae387,50
2022-01-01__8882fcfc94df47a5af3156ba8152c62a,2022-01-01,FR,PREMIUM1,8882fcfc94df47a5af3156ba8152c62a,30
2022-01-01__8c45a8b1e64b49c8820d9973f64826e9,2022-01-01,FR,PREMIUM1,8c45a8b1e64b49c8820d9973f64826e9,50
2022-01-01__8fc042cc31b643878cb82c5abb2fcc72,2022-01-01,FR,PREMIUM1,8fc042cc31b643878cb82c5abb2fcc72,35
2022-01-01__939fb7d0950849a3a68c44b3cad323f1,2022-01-01,FR,PREMIUM1,939fb7d0950849a3a68c44b3cad323f1,35
2022-01-01__97067d9227b64e2297c2a3e706c66e42,2022-01-01,FR,PREMIUM1,97067d9227b64e2297c2a3e706c66e42,30
2022-01-01__978c2690c80d408e8fb984e94b618190,2022-01-01,FR,PREMIUM1,978c2690c80d408e8fb984e94b618190,30
